Subject_ID,Paperclip_Fluency,Paperclip_Flexibility,Paperclip_Originality,Paperclip_Elaboration,Paperclip_DivergentScore,Shoe_Fluency,Shoe_Flexibility,Shoe_Originality,Shoe_Elaboration,Shoe_DivergentScore,Brick_Fluency,Brick_Flexibility,Brick_Originality,Brick_Elaboration,Brick_DivergentScore,Pen_Fluency,Pen_Flexibility,Pen_Originality,Pen_Elaboration,Pen_DivergentScore,Spoon_Fluency,Spoon_Flexibility,Spoon_Originality,Spoon_Elaboration,Spoon_DivergentScore,Total_DivergentScore
s.03ec11b9-d13e-4fa7-acad-7b65e814a759,2,2,2,10,4.0,3,3,3,8,4.25,2,2,2,4,2.5,5,5,5,7,5.5,2,2,2,4,2.5,3.75
s.09ce2283-fce1-496b-9c63-77f6c8024482,3,3,3,3,3.0,2,2,2,3,2.25,3,3,3,7,4.0,2,2,2,5,2.75,2,2,2,4,2.5,2.9
s.0b8244c8-d152-47e5-b75b-2c0526841917,3,3,3,12,5.25,3,3,3,8,4.25,3,3,3,11,5.0,3,3,3,9,4.5,3,3,3,8,4.25,4.65
s.12b67d7c-1991-4368-a414-212d0daf058d,2,2,2,2,2.0,2,2,2,3,2.25,2,2,2,2,2.0,1,1,1,2,1.25,2,2,2,2,2.0,1.9
s.15e385bc-c05e-4bdd-a6c6-4f490e62d46c,2,2,2,7,3.25,4,4,4,11,5.75,3,3,3,10,4.75,3,3,3,9,4.5,2,2,2,5,2.75,4.2
s.1955e45c-2d6b-42b7-9bbe-be736a37f316,2,2,2,3,2.25,2,2,2,4,2.5,1,1,1,1,1.0,2,2,2,4,2.5,1,1,1,1,1.0,1.85
s.1ce40d24-dbaa-4c94-af14-98c3144cfca1,4,4,4,10,5.5,3,3,3,5,3.5,3,3,3,7,4.0,2,2,2,2,2.0,2,2,2,3,2.25,3.45
s.37dff421-d8a1-49ca-bdc3-f80dbfe690d9,4,4,4,6,4.5,3,3,3,7,4.0,3,3,3,5,3.5,4,4,4,9,5.25,4,4,4,6,4.5,4.35
s.64b58ac3-46ca-45d6-ab81-fae1e500fa53,3,3,3,4,3.25,3,3,3,4,3.25,3,3,3,3,3.0,2,2,2,2,2.0,1,1,1,1,1.0,2.5
s.7dab8b17-240a-4f9b-9a78-8e98f96b35bf,6,6,6,6,6.0,5,5,5,6,5.25,4,4,4,4,4.0,5,5,5,5,5.0,5,5,5,5,5.0,5.05
s.82a673d5-68c0-4e90-b85f-9f6b509ac46a,4,4,4,5,4.25,2,2,2,5,2.75,3,3,3,12,5.25,3,3,3,12,5.25,3,3,3,15,6.0,4.7
s.85ece031-da05-4ca8-aa9f-2397701317b8,1,1,1,2,1.25,1,1,1,2,1.25,1,1,1,2,1.25,1,1,1,2,1.25,1,1,1,1,1.0,1.2
s.88d1ad0a-0626-40b0-aaa1-22af15850f46,5,5,5,11,6.5,3,3,3,5,3.5,4,4,4,9,5.25,3,3,3,9,4.5,3,3,3,19,7.0,5.35
s.8d672fa0-46b3-4233-97a2-d8f30820dd11,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1.0
s.9393ee6a-ec32-46f5-a827-3c73fbb7d8ba,2,2,2,5,2.75,3,3,3,7,4.0,3,3,3,4,3.25,3,3,3,5,3.5,3,3,3,6,3.75,3.45
s.95e3f053-5875-492a-b9e1-45b0a3867f74,4,4,4,16,7.0,6,6,6,25,10.75,6,6,6,21,9.75,5,5,5,25,10.0,7,7,7,19,10.0,9.5
s.cb54c30c-b570-4a21-9ed3-cfee3be7aeb5,8,8,8,20,11.0,6,6,6,19,9.25,8,8,8,21,11.25,10,10,10,37,16.75,7,7,7,23,11.0,11.85
s.cc8256e7-4fbb-47f7-a4ad-aaaae077a76b,3,3,3,3,3.0,3,3,3,3,3.0,3,3,3,3,3.0,3,3,3,3,3.0,3,3,3,3,3.0,3.0
s.cf124a04-7b02-40e2-beb8-7e0de06d7357,4,4,4,6,4.5,4,4,4,6,4.5,6,6,6,14,8.0,4,4,4,5,4.25,4,4,4,10,5.5,5.35
s.ebc7634f-2cc0-4d34-a599-03054f2ffbfb,3,3,3,4,3.25,4,4,4,15,6.75,2,2,2,3,2.25,2,2,2,3,2.25,2,2,2,6,3.0,3.5
s.ec0398bf-0a12-4d62-b07a-ec591d2d1476,3,3,3,5,3.5,2,2,2,4,2.5,2,2,2,2,2.0,2,2,2,4,2.5,3,3,3,4,3.25,2.75
s.ef3d7eee-789c-4d44-8710-f88d273fc837,4,4,4,12,6.0,6,6,6,10,7.0,5,5,5,10,6.25,4,4,4,11,5.75,2,2,2,5,2.75,5.55
