File Name,High-risk Frequency,Low-risk Frequency,High-risk Avg Reaction Time,Low-risk Avg Reaction Time,Classification
IGT.2023-05-23-1226.data.12b67d7c-1991-4368-a414-212d0daf058d.txt,48,52,311.6875,349.71153846153845,Risk-Averse & Impulsive
IGT.2023-06-03-0151.data.64b58ac3-46ca-45d6-ab81-fae1e500fa53.txt,57,43,368.5964912280702,358.04651162790697,Risk-Taker & Deliberative
IGT.2023-06-24-1556.data.7dab8b17-240a-4f9b-9a78-8e98f96b35bf.txt,80,20,462.625,554.25,Risk-Taker & Impulsive
IGT.2023-06-30-1033.data.09ce2283-fce1-496b-9c63-77f6c8024482.txt,51,49,1486.235294117647,1266.530612244898,Risk-Taker & Deliberative
IGT.2023-07-13-0949.data.ec0398bf-0a12-4d62-b07a-ec591d2d1476.txt,52,48,486.6730769230769,449.9375,Risk-Taker & Deliberative
IGT.2023-07-17-1516.data.85ece031-da05-4ca8-aa9f-2397701317b8.txt,65,35,1077.7384615384615,1007.1428571428571,Risk-Taker & Deliberative
IGT.2023-07-18-1006.data.ebc7634f-2cc0-4d34-a599-03054f2ffbfb.txt,54,46,910.9629629629629,780.2608695652174,Risk-Taker & Deliberative
IGT.2023-07-18-1716.data.95e3f053-5875-492a-b9e1-45b0a3867f74.txt,56,44,930.7857142857143,1084.4318181818182,Risk-Taker & Impulsive
IGT.2023-07-19-1506.data.8d672fa0-46b3-4233-97a2-d8f30820dd11.txt,59,41,1452.4406779661017,1214.878048780488,Risk-Taker & Deliberative
IGT.2023-07-19-1515.data.d3bb417d-d9b6-45fc-9e52-6578d0e90150.txt,55,45,263.7090909090909,216.04444444444445,Risk-Taker & Deliberative
IGT.2023-07-19-1611.data.ebc7634f-2cc0-4d34-a599-03054f2ffbfb.txt,54,46,910.9629629629629,780.2608695652174,Risk-Taker & Deliberative
IGT.2023-07-23-1805.data.1ce40d24-dbaa-4c94-af14-98c3144cfca1.txt,37,63,1039.4324324324325,978.7460317460317,Risk-Averse & Deliberative
IGT.2023-07-24-1704.data.82a673d5-68c0-4e90-b85f-9f6b509ac46a.txt,81,19,1283.3086419753085,1980.6315789473683,Risk-Taker & Impulsive
IGT.2023-07-24-2244.data.cc8256e7-4fbb-47f7-a4ad-aaaae077a76b.txt,56,44,1048.1964285714287,1161.8863636363637,Risk-Taker & Impulsive
IGT.2023-07-25-0904.data.88d1ad0a-0626-40b0-aaa1-22af15850f46.txt,69,31,1211.231884057971,1224.1612903225807,Risk-Taker & Impulsive
IGT.2023-07-25-1943.data.1955e45c-2d6b-42b7-9bbe-be736a37f316.txt,44,56,395.3863636363636,248.01785714285714,Risk-Averse & Deliberative
IGT.2023-07-26-1349.data.cb54c30c-b570-4a21-9ed3-cfee3be7aeb5.txt,31,69,952.1935483870968,688.7101449275362,Risk-Averse & Deliberative
IGT.2023-07-27-2027.data.0b8244c8-d152-47e5-b75b-2c0526841917.txt,60,40,1388.6166666666666,1788.3,Risk-Taker & Impulsive
IGT.2023-07-28-1142.data.37dff421-d8a1-49ca-bdc3-f80dbfe690d9.txt,58,42,763.1379310344828,828.9761904761905,Risk-Taker & Impulsive
IGT.2023-07-30-1709.data.15e385bc-c05e-4bdd-a6c6-4f490e62d46c.txt,21,79,1195.047619047619,359.75949367088606,Risk-Averse & Deliberative
IGT.2023-08-01-0834.data.9393ee6a-ec32-46f5-a827-3c73fbb7d8ba.txt,15,85,1588.2666666666667,677.0588235294117,Risk-Averse & Deliberative
IGT.2023-09-16-2217.data.cf124a04-7b02-40e2-beb8-7e0de06d7357.txt,55,45,1560.4727272727273,969.4888888888889,Risk-Taker & Deliberative
